review_id,text,issue_category_code,source_code,rating,notes
qwen-cleanliness-001,The room was spotless and the linens were fresh. I felt very clean after my stay.,cleanliness,qwen_synthetic_draft,5,qwen-generated draft; requires human review
qwen-cleanliness-002,"I noticed some minor dust on the ceiling fan, but overall the room was quite clean.",cleanliness,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-cleanliness-003,The bathroom had a strong odor that lingered for hours after my stay. It was disappointing.,cleanliness,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-cleanliness-004,The towels were old and not very absorbent. I felt uncomfortable sleeping with them.,cleanliness,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-cleanliness-005,"I found some lint in the bathtub, which made me feel a bit uneasy about hygiene.",cleanliness,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-cleanliness-006,The hotel's lobby was dirty and dusty. It was not welcoming at all.,cleanliness,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-cleanliness-007,"I appreciated the cleanliness of the room, but the bathroom needed some maintenance.",cleanliness,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-cleanliness-008,The linen was old and made me feel like I was staying in an older hotel. It could have been cleaner.,cleanliness,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-cleanliness-009,"I noticed a few spots of mold on the wall, which is concerning for hygiene reasons.",cleanliness,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-cleanliness-010,"The overall cleanliness was good, but there were some small issues that needed addressing.",cleanliness,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-cleanliness-011,"The room was spotless, the linens were fresh and clean.",cleanliness,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-cleanliness-012,I noticed some mild soap residue in the bathroom sink.,cleanliness,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-cleanliness-013,"Upon arrival, the hotel informed me that my bed sheets had a tear and needed to be changed immediately.",cleanliness,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-cleanliness-014,"The hotel's public areas were well-maintained, but one of the towels felt slightly worn.",cleanliness,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-cleanliness-015,"I found some lint on the floor of my room, which was disappointing after paying for a clean stay.",cleanliness,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-cleanliness-016,"The bathroom in my suite was exceptionally clean, with no traces of soap or dirt.",cleanliness,qwen_synthetic_draft,5,qwen-generated draft; requires human review
qwen-cleanliness-017,One of the towels I received had visible stains and needed to be laundered.,cleanliness,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-cleanliness-018,"I appreciated that the hotel provided new towels at check-in, making up for any cleanliness issues.",cleanliness,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-cleanliness-019,"The hotel's laundry service was slow, resulting in dirty linens for a couple of days.",cleanliness,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-cleanliness-020,I noticed some scuffs on the carpet near the entrance; it wasn't severe but noticeable.,cleanliness,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-cleanliness-021,The bathroom was spotless and fresh when I checked in. Thank you!,cleanliness,qwen_synthetic_draft,5,qwen-generated draft; requires human review
qwen-cleanliness-022,I noticed some scuffs on the floor but it wasn't too noticeable.,cleanliness,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-cleanliness-023,"The linen was not as clean as expected, and needed ironing after just one stay.",cleanliness,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-cleanliness-024,"The towels were clean, but there were some lint spots that could have been avoided.",cleanliness,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-cleanliness-025,The public areas were quite dirty when we arrived. I didn't want to stay long!,cleanliness,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-cleanliness-026,"There was a small puddle of water in the hallway outside my room, which I had to clean myself.",cleanliness,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-cleanliness-027,"The rooms were clean, but the bathrooms needed some cleaning after one stay.",cleanliness,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-cleanliness-028,I noticed some dust on the ceiling fan and the air conditioning vents.,cleanliness,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-cleanliness-029,The linens were very dirty when I checked in. I had to request new ones right away.,cleanliness,qwen_synthetic_draft,2,qwen-generated draft; requires human review
